is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
0,73.20739893470001,163.696720474,1995-01-26 00:00:00,1995-01-26 08:35:00,Earth,10.3152870051,37135.0332183913,An asteroid orbit contained entirely within the orbit of the Eart,3555677,(2011 BX11),618.9172203065216
1,221.0828103591,494.3561926196,1995-01-26 00:00:00,1995-01-26 07:08:00,Earth,28.911697302100002,104082.1102876284,Near Earth asteroid orbits similar to that of 2062 Aten,3591721,(2011 YH28),1734.70183812714
0,96.50614695790001,215.7943048444,1995-01-26 00:00:00,1995-01-26 13:13:00,Earth,12.4523583777,44828.490159598,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3727630,(2015 RE83),747.1415026599666
1,183.88867207029998,411.1875710413,1995-01-26 00:00:00,1995-01-26 07:49:00,Earth,7.1673309964,25802.391586923306,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2162922,162922 (2001 OY13),430.0398597820551
1,291.4439045349,651.6883821679,1995-01-26 00:00:00,1995-01-26 09:25:00,Earth,36.927161061199996,132937.7798204377,Near Earth asteroid orbits similar to that of 1221 Amor,2508774,508774 (1999 JE1),2215.6296636739617
0,127.2198785394,284.4722965033,1995-01-26 00:00:00,1995-01-26 13:44:00,Earth,16.1281080333,58061.1889197817,Near Earth asteroid orbits similar to that of 2062 Aten,3742340,(2016 CJ136),967.6864819963616
0,175.6123184804,392.6810818086,1995-01-26 00:00:00,1995-01-26 16:31:00,Earth,34.1722014834,123019.925340191,Near Earth asteroid orbits similar to that of 1221 Amor,3759745,(2016 SN2),2050.3320890031832
1,167.7084621628,375.00752179809996,1995-01-23 00:00:00,1995-01-23 23:34:00,Earth,17.416051560499998,62697.7856179688,An asteroid orbit contained entirely within the orbit of the Eart,3638237,(2013 JN7),1044.9630936328133
1,291.4439045349,651.6883821679,1995-01-23 00:00:00,1995-01-23 14:46:00,Earth,15.444246252300001,55599.2865082174,Near Earth asteroid orbits similar to that of 1221 Amor,3726014,(2015 PR228),926.6547751369567
0,732.0739893473,1636.96720474,1995-01-23 00:00:00,1995-01-23 16:07:00,Earth,13.4515927281,48425.733820994414,Near Earth asteroid orbits similar to that of 1221 Amor,2340666,340666 (2006 RO36),807.0955636832402
